orig_index,input,true_intent,pred_intent,input_length,entity_count,confusion_pair
373,My 10 year old gets stomache pains and starts shaking uncontrollably. Last for and hour or more and goes away. May come and go for hours then gone for days and comes back? Has been going on for 3 months? We have tried possible low blood sugar . Juice or candy does not help. Should I take her to an immediate care as is going on now.,diagnostic,general_inquiry,67,3,diagnostic → general_inquiry
2279,"I m on Disulfiram and my mood is completely different. I almost feel dissociated from myself. I have strange or abnormal thoughts especially when I dream. I m more anti-social and almost feel like I just don t care about anything. Can t really describe it, I just know that there is something happening on a psychological level and I feel distanced from the world. What could be happening?",mental_health,symptom_inquiry,69,0,mental_health → symptom_inquiry
3266,Hi I have known that my liver enzymes are elevated.Now i want to know that can it be normalize by some precaution or care or it can not be ever.I can not show my reports cause my doctor has those.But as she told me that my gtt and one more thing is elevated.she ask me to control my diet .Now i m thinking is this possible to normalize it.,lifestyle,medication_inquiry,69,1,lifestyle → medication_inquiry
2582,"I have a rash on my waist area that I have had for over a month and it seems to be spreading. I can t seem to find any pictures on the internet so as to identify it. it sometimes itches, heats agrivates it, and it tends to cause very dry skin I also do not have any medicaql insurance at the moment for I am unemployed. I have tried a vitamin A&D ointment, a psoriasis multi symptom ointment, and a staphAseptic ointment with no result. please advise",symptom_inquiry,general_inquiry,89,1,symptom_inquiry → general_inquiry
3752,"I had a Mirena IUD in for a little over 6 months.  I had a lot of complications, bloating, weight gain (30 lbs), over heating at night, mood swings, among others.  I took the IUD out about 2months ago.  Within a few days, I had what I thought was my period for 2-3 days.  I have not bled since then and I should have gotten it this last week.  I do not think I am pregnant.  I am overly bloated, gaining 5-10 lbs in a day.  I eat a really healthy balance diet and work out daily with cardio and pilates.  I am constipated at times as well.  Now I am over heating again.  What is going on?!",lifestyle,emergency,119,0,lifestyle → emergency
1268,"hi i m worried about my 4 year old son not eating, he s never been a big eater but over the last 2 months he s hardly eating at all, the odd bowl of cereal or bag of crisps. he has sandwiches at school so i can see if he is eating there and he isnt. he is always complaining of pains in his arms and legs and of belly ache. could this be something serious? i am really worried he is really skinny.",general_inquiry,lifestyle,85,3,general_inquiry → lifestyle
1880,"I am married for last 4 months. We have been using condoms till now, but dont find it very comfortable. It reduces pleasure and has burst during use. But I am also not keen on pills or anything to play havoc with my hormonal system. Can I use IUD? Is it advisable for women who did not have their first baby yet? I am not planning to have a baby for another 2-3 years",medication_inquiry,general_inquiry,74,0,medication_inquiry → general_inquiry
2770,"Bad pain in chest and lungs when drinking a small glass of water this morning... hurt so much i was hunched over, also got very dizzy and short of breath... dont know if that part was from anxiety because i was scared but i almost blacked out... super scared.. whats happening? Thanks",mental_health,general_inquiry,52,4,mental_health → general_inquiry
2913,"My 5-year-old daughter is suffering from severe fever and throat infection for the past 1 week. The doctor first prescribed Azithral 200 suspension and then Advent Forte syrup. The fever has not subsided and she developed severe cough, which results in vomiting everytime she had food or medicine. Yesterday, the doctor diagnosed it as severe acute tonsillitis and added Zanocin syrup to the regimen. She also started passing greenish, mucus-like consistency stools everytime she urinates. For that, he added Junior Lanzol and Bifilac. Even then, she is having fever, but the intensity has decreased somewhat. The doctor told that only if the throat infection gets cured, the fever will subside completely. I am worried about adding the antibiotics up and up and is it safe to give all those medicines at a time? In addition, she takes Meftal-P suspension for fever also. Please give elaborate answer and advise what is the next step is to be taken? I have seen an indication that zanocin is not safe for use in children in the information leaflet given along with the medicine. She is taking Grilinctus for cough also.",emergency,symptom_inquiry,187,5,emergency → symptom_inquiry
2138,"hello me and my girlfriend had unproductive sex yesterday for the first time , i don t thing i cum in her but i i am fearing that will she will be pregnant , i am thinking to give her an ipill so she can avoid pregnancy , her period time cycle is 30 days and she had last period on 2nd of this month and she told her next period may come after 1 week ....... are there any chances to her to get pregnant",medication_inquiry,general_inquiry,86,0,medication_inquiry → general_inquiry
2756,"IF YOU A HI CALCIUM SCORE DOES THAT MEAN YOU HAVE A BLOCKAGE OR BLOCKAGES IF YOUR TOTAL CALCIUM SCORE IS 1037.72,IT HAS INCREASED FROM YEAR 2008 ,WHEN IT WAS 698,DOES THAT MEAN YOU HAVE INCREASED CORONARY ARTERY DISEASE,EVEN THOUGH,YOU ARE COMPLETELY ASYMPTOMATIC-NO CHEST PAIN,NO SOB ,WITH NORMAL DAILY WORKING ACTIVITIES . CARDIAC STRESS TEST,ECHO,AND EKG ARE COMPLETELY NORMAL. DO YOU NEED TO BE STENTED . MILD TYPE 2 DM A1C IS 6 . I AM AGE 73 WT 168 LBS BP 130/84 PULSE R 84",emergency,diagnostic,86,3,emergency → diagnostic
723,Man age 73 has Chronic heart failure. Last week he developed a pain in his right elbow. Today it is swollen to size of a baseball. They have taken xrays and show nothing broken. He had bloodwork done and all came back fine. The area swollen seems to be very warm. He has NO fever. It hurts him very bad and can only move arm about shoulder high. The doctors have given him an antibiotic to lower the swelling. What could this be?,diagnostic,general_inquiry,83,7,diagnostic → general_inquiry
3840,"hi,my father is 71 yrs of age,complication with uncontrollabe gm,having a mild stroke on his left side and now suspected of lung infection,he is very weak,just lying on the bed for 3 days,on drips n food administer through the nose,ct brain scan come out ok,lumbar puncture done also ok,but still very weak,lm confused",emergency,symptom_inquiry,53,3,emergency → symptom_inquiry
4167,"I have had a constant pain going down both of my legs from the buttocks straight down like a small electric current. I can t sleep because I can t find a position that isn t painful. Yesterday, I had a stomach ache and my whole body ached. Today it s just the legs. It doesn t just come and go, it s a steady pain. It feel like when your hand or arm falls asleep and when the blood it trying to get back to normal. That weird pain. What could be the reason? Concerned has lasted two days.",diagnostic,symptom_inquiry,100,5,diagnostic → symptom_inquiry
1398,"my kid was detected with ALLB in nov 2009.He completed his chemotherapy 6 cycles and was in maintainence  phase.15 days before he had a severe head ache.doc asked for CSF test.Test  showed 200 blasts in CSF.he has a relapse in CNS after 18 months.he is now 5.5 yrs. doc says he needs a chemo again consisting of 6 cycles including 2-3 additional drugs which were not used before & radiation therapy in last cycle.i want to confirm if the diagnosis & prognosis are going fine? what is thw reason for relapse? what are the chances of cure after treatment.His bone marrow at present is intact, can he need a transplant,how useful can it be? are there chances of relapse even after transplant? he does not have brother or sister? what are the chances of getting a right match & cost ?can alternative medicines like homeo or ayurveda used as supportive medicines during chemo?How fatal can a relapse in CNS be?can he be cured completely?Thaking you & awaiting for reply,swati.",emergency,medication_inquiry,168,2,emergency → medication_inquiry
4304,"hi doctor. i m aftab (male) From Pakistan.My friend (male 36yrs old) has a sex problem,  and very shay to discuss with any one. but i came to know that he has some \""erecting problem\"" since last one month. He has 05 children but now very tense. what r the causes & solutions please.. ?",general_inquiry,symptom_inquiry,53,0,general_inquiry → symptom_inquiry
3183,"Hi Doctor,I am a patient of Panic Disorder & Thyroid, prescribed with Thyronorm 25mcg & Zapiz 0.5mg morning and 1mg evening, I was taking this dosage from last 6 months, now i have reduced my dosage of Zapiz 0.25mg Morning and 0.25mg Evening and Thyronorm 25mcg daily before breakfast.  Yesterday I got severe palpitations and my health was very bad the whole night.  I am taking these medicines from last 3 years kindly suggest and advise me what to do.",emergency,medication_inquiry,78,0,emergency → medication_inquiry
1368,"Hi, right now my face is filling heavy and whenver I look down at my phone it feels like liquid is moving and I feel really dizzy I think it s dizziness. i really don t know how to describe it. I do suffer from Hypertension and I have taken my medication today and not scheduled to take it again until 6pm. Like right now I feel the heavy face and it appears that it is going down my body and it has reached my waist. I know this sounds crazy I don t know how else to describe this.",medication_inquiry,symptom_inquiry,100,3,medication_inquiry → symptom_inquiry
3912,"Hi i am a 28 year old woman, i have hypothyroidism and i am currently 17 stone. I have a recurring lump that comes up in my groin/tendon on my ght leg, right on the underwear line. It is colourless, quite hard and quite painful to touch. i have had an ultrasound scan, but at the time it had gone down, so the doctors dont think its a hernia. it grows tabout the same size as a 50p but it isnt round its elongated and seems to run along the tendon into my leg. it seems to reocurr every month/ month and half, and it has been going on for just over 12 months. i have pain/aching in my hip too, more so when the lump occurs i ont know if this is related. thanks",diagnostic,general_inquiry,135,2,diagnostic → general_inquiry
2153,"My great aunt (89 yrs) was recently diagnosed with CHF, also has stage one Alzheimers, these past few days has refused to take her medications (coreg, LASIK being the two most important) and putting them in food is not an option. What am I to expect as her sole care giver if she wont take these",medication_inquiry,general_inquiry,56,1,medication_inquiry → general_inquiry
3842,"my sister has been diagnosed with gland TB and is under treatment for about two months but there is no improvement. lately the swelling developed on her back contained some pus which was removed surgically. still she suffers from intense pain. can you kindly advice on further treatments, pleease.",general_inquiry,symptom_inquiry,49,3,general_inquiry → symptom_inquiry
4708,"I recently found out that I was pregnant, I told my boyfriend about it.  He always jokes about me getting pregnant so was not expecting his answer.  He wants me to have an abortion.  I went through the consultation for the abortion and just strongly disagree with it.  I told him about this feeling and continually have nightmares about it.  He does not want to hear this and is gong ho about this abortion.  I feel even if it was an accident why are we killing this baby, it was not its fault it was conceived and now i feel its my job to protect it but I am scared about just up and leaving, he has threatened that if i leave he will find me and take my baby that he does not want and raise it with his ex.  what should I do",symptom_inquiry,general_inquiry,145,0,symptom_inquiry → general_inquiry
4618,"my father just detected with stage 4 cancer in kidney and it has spread to the left lungs , he is 73 years old , his weight was 101 and now it is 88 kgs, he has been getting fewer now and then only for some hours. mostly in the evening 6 pm.  pls let me knw a treatment , we are going for a biopsis on monday. we are totally scared and worried. pls advise",lifestyle,symptom_inquiry,76,3,lifestyle → symptom_inquiry
2744,"I recently went to the ER without insurance and was found to have had gastritis and symptoms of anxiety . I ve since received a letter in the mail indicating that I need a follow up due to lab work demonstrating elevated liver enzymes and calcium . There were red cells found in the urinalysis . My question is, what do you recommend I do to have these tests done and what possible problems might I be facing given these test results? I don t want to ignore my health but the bill I have from that ER visit is nearly $5,000 and I haven t a penny to spare. Thank you",symptom_inquiry,diagnostic,112,2,symptom_inquiry → diagnostic
4367,"Dear doctor, my name is Temitayo Steven from Nigeria. For the past 8 days, I have been experiencing fever that would start around the afternoon period and disappear in the morning, slight headache and chest pain. Some days before this I had rashes around my anus. I went for a test 5 days ago and below is the result; S.typhi(O 1",emergency,symptom_inquiry,62,7,emergency → symptom_inquiry
3688,I been taking bystoli 10mg for the past 5 years and my blood pressure even though I take the pill every morning it was always running high 124/83 to 86 I started to take organic chlorella and after a three weeks of taking this I notice when I take my blood pressure pill I was getting dizzy light headed and was having headache. Went to see my dr and he said to take half the pill I been doing that and my blood pressure been normal I check I every morning before I take the pill and its normal. I check it after I take the pill and it the same an hour later and throughout the day. My question is could that chlorella be taking care of the high blood pressure my weight been the same. I asked my dr and he told me to keep taking the pill.,symptom_inquiry,medication_inquiry,150,2,symptom_inquiry → medication_inquiry
1302,"Hi, uhm. I have had my belly button pierced for a long time and I wore a dangly belly button ring and I kept it in for a couple days and my belly button started to hurt. I put my regular ring back in and now my belly button has swelled and has a hard lump under the skin right behind the middle of the ring. I do not know what I should do. Please help. I tried to squeeze what ever it was and puss and blood came out.",diagnostic,general_inquiry,90,1,diagnostic → general_inquiry
2707,"Good evening sir,My father is 45 years old ,as undergone a CT scan, it was advised by the doctor.The report stated that he has interstitial lung disease.The doctor is threatening us that the life span is only 10 years more. Is it true sirwhat action shall we take to save my father",diagnostic,general_inquiry,52,1,diagnostic → general_inquiry
2397,"im suffering with problem that i cant control my angry ,im behaving like animal,i dnt knw what im doing at tht time.......my brain want to take revenge on some if anybody insult or any cheat immediately i behave like anything i cry like anything if anybdy insult me. plz wt is my disease ....i would like to commit suicide if i ll be like dis.........wt shall i do ?",symptom_inquiry,general_inquiry,68,1,symptom_inquiry → general_inquiry
4127,"I get eczema a lot on my face, especially around my lips. When I get it, it s bumpy, inflamed, and weeping but the last time I went to the doctor for this (two years ago) I was prescribed Triamcinolone Acetonide cream (0.1%). I mention this because the cream helps me with my current problem. Now I m having issues with my right ring finger. The skin is red, dry and cracked and will bleed if I don t put the Tri cream on it with a band-aid sealing it off. The cream, when used on my face, usually makes the eczema disappear in two days if I catch it right away and apply it twice a day (in the morning and before I go to bed). I ve used the cream on my finger because I thought it was another type of eczema, but the cream doesn t heal it completely. It heals the damage and makes it so the worst of it is gone and there s no more completely cracked and bleeding skin, but if I stop applying it it becomes dry and cracked again. I used the cream in tandem with Cetaphil (also recommended by my doctor for the eczema) for nearly two weeks, twice a day, and it looked as though it had healed completely, but after a day or two the problem came back with the same intensity as before. Is this eczema? Should I keep trying the Tri cream and Cetaphil? Do I need a higher dosage of the cream (0.5% instead of 0.1%)?",emergency,general_inquiry,263,2,emergency → general_inquiry
1721,There is a hard lump on the outer side of my butt It has been there at least 3 years It has bbeen seen by a doctor before and they said not to worry about it But this few months it has grown bigger and more painful than before It got no other symptom Just the lump itself Could it be anything serious,symptom_inquiry,general_inquiry,63,1,symptom_inquiry → general_inquiry
2194,I have moderate pain directly to the right of my sternum. When driving in auto the area seems to bulge and increase in pain. Direct pressure often relieves the intense pain but will eventually re-acure. Some times it is a tearing feeling when getting up from rest. this has gone on for quite some time . It is close to a scar from gall blatter surgery and has pain along upper rib cage bone,symptom_inquiry,general_inquiry,74,1,symptom_inquiry → general_inquiry
3120,i amsuffering from palpitations skipped beats with aheart rate not rapid what  shoul I do ECG is normal my age is 79 years and had undergone angioplasty procedure three years back with one stent  the episode is repeating no other attendent symprom except the uneasiness of rhe missed beat and anxiety,symptom_inquiry,general_inquiry,51,3,symptom_inquiry → general_inquiry
1542,"hi I have acute depression and i have not been able to sleep. when i do fall asleep, it is only for an hour or so. its very broken. Seems like my mind will not stop thinking. My doctors have tried several things and the only things that work are addictive. So with that in mind, they will only give me a few and then not refill. Is there anything i can do to get some rest. Thank you in advance",mental_health,symptom_inquiry,81,1,mental_health → symptom_inquiry
1479,"hi,my period due date is 31.9.2012 and take pregtest in 40thday it is negative..,i am having regestrone 5mg tablet for 3days was prescribed by doctor...Already i have a irregular period and also trying to concieve...still i dont have a period...plz help me.",symptom_inquiry,medication_inquiry,42,0,symptom_inquiry → medication_inquiry
2054,"I have had pain in my lower stomach for sometime and had been treated of the UTI sometime back. I did stool test and it show pus in the stool. The pain is too much and the urine is deep coloured. The back of the waist is also paining. The endorscopy did not show anything,what could be the problem. Jay P",diagnostic,symptom_inquiry,61,3,diagnostic → symptom_inquiry
1138,"Hi , I am 28 years old woman, We are trying for child since last one and half years but we not get success, as per my previous medical examination , I have polycystic ovarian deasies. I am taking medicine from last 9 months and IUI treatment for 2 cycles as my husbands sperm counts are low. So please kindly advise me which kind of treatement I should follow. Is there any ayurvedic treatment available in our case?",medication_inquiry,symptom_inquiry,78,0,medication_inquiry → symptom_inquiry
471,"hi there, i m 29 years old and i have the excessive saliva problem for the past 5, 6 years. I brush and floss every morning and night and rinse my mouth everytime after i eat. when i am awake every morning, the saliva will start to gather in my mouth, it usually has a very stinky smell too. the only way to get rid of it is to get up and brush my teeth . some time if i am really tired, i would try to keep my mouth shut to prevent it dropping onto my pillow, but usually it will eventually builds up and i am forced to get up to brush my teeth. have been trying very hard to look for a solution. thanks in advance.",medication_inquiry,general_inquiry,129,0,medication_inquiry → general_inquiry
4969,"i am facing numbness problem in my back ( top left side) since long time, due to which i couldnt sit comfortably for long or study properly.It often starts with a mild uncomfortableness, which turns to numbness gradually, making me stretch my hands to relax back muscles.I once happen to go on vaccation to france, and carried a bag pack( heavy) at my back for long. Few days later , i start to face this problem, which I suppose could be the reason.Kindly, revert back with possible solution to this problem @ YYYY@YYYY",general_inquiry,symptom_inquiry,90,1,general_inquiry → symptom_inquiry
3455,"I have a noroma on 2nd and 3rd toes on right foot and also have pain in my foot pad (feels mushy and painful). I have had a CT scan acknowleging this and am waiting to see a dr. right now. I am wearing orthotics which help, but cannot go without them. What will the Dr. (Dr. Bridge) do about this?",diagnostic,general_inquiry,62,2,diagnostic → general_inquiry
1933,"Dear Sir, I am writing from Bangladesh. I am facing a terrible problem with my girlfriend. She is 22 years old. And she has a habit to chewing coal. She do this thing most of the time when she felling head pain and her chest pain. She told me that when she chewing the she fill relax from the pain. Now we want to get away from this habit. If you kindly prescribe what to do for this bad habit that would be so kind.",emergency,general_inquiry,85,4,emergency → general_inquiry
3593,"yes my husband ankles have been swollen for months now .He is diabetic,kidney diease in both kidneys,Has to go to gastro dr.next week for his liver.also was at er for this and pain.Had stress test done that was good.Could this be from his kidneys all this swelling and pain.Now when you press on the ankles it has an indention.",diagnostic,general_inquiry,59,4,diagnostic → general_inquiry
4794,"This morning while talking on the phone I began to feel faint. Actually, it felt like I was blacking out, the feeling radiating from the back of my skull, coming around my head in two waves. I thought I was going to totally black out but then it subsided and went away. I feel a little under the weather since then and tired. Could this be a small stroke?",emergency,symptom_inquiry,69,2,emergency → symptom_inquiry
1148,"48 year old male, 215 lbs, exercise several times per week, take blood pressure reducing supplements such as garlic, coq10, olive leaf extract, vitamin e and many others, but blood pressure still remains around 140-170 over 90 - 105.  No history of kidney or liver problems and in fairly good physical shape.  Had bad accident almost 20 years ago with rods, plates, pins, wire wraps, etc. in legs & arms and had a direct drip into heart while in hospital.  Could any of that be the problem?",lifestyle,diagnostic,86,5,lifestyle → diagnostic
3512,What is the  meaning of Homogeneous opacity seen in righthemithorax of RT costophonic angle and obscuration of RT hemidiaphragmn .Doctor says this means Lungs are filled with water (Approx 1.5 liter)Kindly let me know is this curable with medicine?Is Operation required. Is this causes serious problem now or later on.,medication_inquiry,general_inquiry,52,1,medication_inquiry → general_inquiry
2099,I fell down the stairs this morning. I landed on my shin bone. Its has been hurting since. I even had a difficult time drivin to work this morning and can not put much weight on it. However it is only red and not wry bruised or swollen. The skin is actually numb to the touch. Is this something I should be concerned about or just ice and take Advil?,lifestyle,general_inquiry,70,0,lifestyle → general_inquiry
4595,"I am having a problem with my memory . I am 73 yrs old and find in the morning my mind is foggy, I sometimes get confused and forgetful. I used to have a very good memory. I just bought a vitamin by Natrol called brain spped memory. Contains 50 MG thiamin, 125 mg niacin , 10MG B6,1,000 MG folic acid , 500 MG B12,125 pantothenic acid . My doctor does not believe in natural medications. What do you think?",symptom_inquiry,medication_inquiry,80,2,symptom_inquiry → medication_inquiry
132,"hello im 22 years old,weigh 68kg and im 1.58m,experience painful sudden accelaration of heart beat and i started experiencing this burning sensation when urinating and even after that i always felt like i needed to urinate but i started using gyna guard and i didnt feel anything until i stopped using it,i am sexually active so it might be an infection because the intimate wash product could have just been suppressing it and i sometimes have thir dry brown discharge which looks like the things after a menstrual cycle but im usually not on my periods at that time...so any ideas?",symptom_inquiry,general_inquiry,101,3,symptom_inquiry → general_inquiry
2664,"Will any muscle reaxing medication relax the mucles surrounding the sciatic nerve muscle that is sezing up in my right side back just below my waistline or will a specific exercise aleviate the swelling in the muscle. I have live with this for many, many years but this is the worst one yet. Thank you for your assistance. Kathy",medication_inquiry,general_inquiry,59,3,medication_inquiry → general_inquiry
